Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,102,1563,1665,Karli(ST),MMR014014
 Rural,2134,2768,4902,Karli(ST),MMR014014
 Total,2236,4331,6567,Karli(ST),MMR014014
