Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,197,8816,9013,Kyaukpadaung,MMR010020
 Rural,24533,28415,52948,Kyaukpadaung,MMR010020
 Total,24730,37231,61961,Kyaukpadaung,MMR010020
