Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,128,1975,2103,Mone`,MMR014019
 Rural,691,3430,4121,Mone`,MMR014019
 Total,819,5405,6224,Mone`,MMR014019
