Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,147,1186,1333,Minepyin,MMR016007
 Rural,2088,7184,9272,Minepyin,MMR016007
 Total,2235,8370,10605,Minepyin,MMR016007
