Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,176,3663,3839,Kyauktaw,MMR012004
 Rural,7136,25520,32656,Kyauktaw,MMR012004
 Total,7312,29183,36495,Kyauktaw,MMR012004
