Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,57,8596,8653,Kyukme,MMR015012
 Rural,5282,14436,19718,Kyukme,MMR015012
 Total,5339,23032,28371,Kyukme,MMR015012
