Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,127,3823,3950,Kyaungon,MMR017007
 Rural,5461,31991,37452,Kyaungon,MMR017007
 Total,5588,35814,41402,Kyaungon,MMR017007
