Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,130,723,853,Minemaw,MMR015008
 Rural,5535,4057,9592,Minemaw,MMR015008
 Total,5665,4780,10445,Minemaw,MMR015008
