Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,245,1499,1744,Chaungzon,MMR011003
 Rural,4909,21291,26200,Chaungzon,MMR011003
 Total,5154,22790,27944,Chaungzon,MMR011003
