Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,55,9142,9197,Twantay,MMR013027
 Rural,3039,39366,42405,Twantay,MMR013027
 Total,3094,48508,51602,Twantay,MMR013027
