Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,80,3351,3431,Phekon,MMR014010
 Rural,1318,15335,16653,Phekon,MMR014010
 Total,1398,18686,20084,Phekon,MMR014010
