Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,35,1155,1190,Mineyaung,MMR016011
 Rural,729,4410,5139,Mineyaung,MMR016011
 Total,764,5565,6329,Mineyaung,MMR016011
