Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,569,56079,56648,Taunggyi,MMR014001
 Rural,3966,21990,25956,Taunggyi,MMR014001
 Total,4535,78069,82604,Taunggyi,MMR014001
