Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,284,3094,3378,Hopan,MMR015021
 Rural,2095,4558,6653,Hopan,MMR015021
 Total,2379,7652,10031,Hopan,MMR015021
