Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,149,3809,3958,Kungyangon,MMR013029
 Rural,4011,20383,24394,Kungyangon,MMR013029
 Total,4160,24192,28352,Kungyangon,MMR013029
