Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,2786,36882,39668,Myitkyina,MMR001001
 Rural,3291,7624,10915,Myitkyina,MMR001001
 Total,6077,44506,50583,Myitkyina,MMR001001
 Urban,759,3061,3820,Waingmaw,MMR001002
 Rural,5156,10804,15960,Waingmaw,MMR001002
 Total,5915,13865,19780,Waingmaw,MMR001002
 Urban,22,56,78,Ingyanyan,MMR001003
 Rural,52,155,207,Ingyanyan,MMR001003
 Total,74,211,285,Ingyanyan,MMR001003
 Urban,728,2966,3694,Tanaing,MMR001004
 Rural,723,1981,2704,Tanaing,MMR001004
 Total,1451,4947,6398,Tanaing,MMR001004
 Urban,11,318,329,Chiphwe,MMR001005
 Rural,67,1535,1602,Chiphwe,MMR001005
 Total,78,1853,1931,Chiphwe,MMR001005
 Urban,5,61,66,Hsotlaw,MMR001006
 Rural,476,531,1007,Hsotlaw,MMR001006
 Total,481,592,1073,Hsotlaw,MMR001006
 Urban,174,530,704,Hsinbo(ST),MMR001001
 Rural,743,561,1304,Hsinbo(ST),MMR001001
 Total,917,1091,2008,Hsinbo(ST),MMR001001
 Urban,40,470,510,Hsadone(ST),MMR001002
 Rural,63,1037,1100,Hsadone(ST),MMR001002
 Total,103,1507,1610,Hsadone(ST),MMR001002
 Urban,1,173,174,Kanpaikti(ST),MMR001002
 Rural,152,1144,1296,Kanpaikti(ST),MMR001002
 Total,153,1317,1470,Kanpaikti(ST),MMR001002
 Urban,21,1004,1025,Shinbwayyan(ST),MMR001004
 Rural,214,891,1105,Shinbwayyan(ST),MMR001004
 Total,235,1895,2130,Shinbwayyan(ST),MMR001004
 Urban,-,196,196,Panwa(ST),MMR001005
 Rural,53,1126,1179,Panwa(ST),MMR001005
 Total,53,1322,1375,Panwa(ST),MMR001005
 Urban,560,5793,6353,Mohnyin,MMR001007
 Rural,11419,12418,23837,Mohnyin,MMR001007
 Total,11979,18211,30190,Mohnyin,MMR001007
 Urban,705,3743,4448,Mogaung,MMR001008
 Rural,9280,11170,20450,Mogaung,MMR001008
 Total,9985,14913,24898,Mogaung,MMR001008
 Urban,35,6821,6856,Phakant,MMR001009
 Rural,1972,24306,26278,Phakant,MMR001009
 Total,2007,31127,33134,Phakant,MMR001009
 Urban,699,3842,4541,Hopin(ST),MMR001007
 Rural,2781,2110,4891,Hopin(ST),MMR001007
 Total,3480,5952,9432,Hopin(ST),MMR001007
 Urban,366,664,1030,Kamine(ST),MMR001009
 Rural,1054,1414,2468,Kamine(ST),MMR001009
 Total,1420,2078,3498,Kamine(ST),MMR001009
 Urban,496,9019,9515,Bhamo,MMR001010
 Rural,5478,9168,14646,Bhamo,MMR001010
 Total,5974,18187,24161,Bhamo,MMR001010
 Urban,323,3079,3402,Shwegu,MMR001011
 Rural,6770,5656,12426,Shwegu,MMR001011
 Total,7093,8735,15828,Shwegu,MMR001011
 Urban,512,1578,2090,Momauk,MMR001012
 Rural,2206,4338,6544,Momauk,MMR001012
 Total,2718,5916,8634,Momauk,MMR001012
 Urban,391,1227,1618,Mansi,MMR001013
 Rural,2189,6747,8936,Mansi,MMR001013
 Total,2580,7974,10554,Mansi,MMR001013
 Urban,175,186,361,Myohla(ST),MMR001011
 Rural,161,271,432,Myohla(ST),MMR001011
 Total,336,457,793,Myohla(ST),MMR001011
 Urban,9,1216,1225,Lwe`ge`(ST),MMR001012
 Rural,1,277,278,Lwe`ge`(ST),MMR001012
 Total,10,1493,1503,Lwe`ge`(ST),MMR001012
 Urban,52,259,311,Dotphoneyan(ST),MMR001012
 Rural,291,1631,1922,Dotphoneyan(ST),MMR001012
 Total,343,1890,2233,Dotphoneyan(ST),MMR001012
 Urban,1091,1720,2811,Putao,MMR001014
 Rural,4032,3900,7932,Putao,MMR001014
 Total,5123,5620,10743,Putao,MMR001014
 Urban,104,68,172,Sumprabum,MMR001015
 Rural,129,178,307,Sumprabum,MMR001015
 Total,233,246,479,Sumprabum,MMR001015
 Urban,131,277,408,Machanbaw,MMR001016
 Rural,874,437,1311,Machanbaw,MMR001016
 Total,1005,714,1719,Machanbaw,MMR001016
 Urban,8,62,70,Khaunglanphoo,MMR001018
 Rural,436,1205,1641,Khaunglanphoo,MMR001018
 Total,444,1267,1711,Khaunglanphoo,MMR001018
 Urban,250,110,360,Naungmoon,MMR001017
 Rural,392,191,583,Naungmoon,MMR001017
 Total,642,301,943,Naungmoon,MMR001017
 Urban,5,19,24,Pannandin(ST),MMR001017
 Rural,24,221,245,Pannandin(ST),MMR001017
 Total,29,240,269,Pannandin(ST),MMR001017
 Urban,136,10286,10422,Loikaw,MMR002001
 Rural,3187,12886,16073,Loikaw,MMR002001
 Total,3323,23172,26495,Loikaw,MMR002001
 Urban,90,1047,1137,Dimawso,MMR002002
 Rural,3521,10689,14210,Dimawso,MMR002002
 Total,3611,11736,15347,Dimawso,MMR002002
 Urban,29,824,853,Phruso,MMR002003
 Rural,1018,4039,5057,Phruso,MMR002003
 Total,1047,4863,5910,Phruso,MMR002003
 Urban,73,263,336,Shardaw,MMR002004
 Rural,70,1000,1070,Shardaw,MMR002004
 Total,143,1263,1406,Shardaw,MMR002004
 Urban,111,728,839,Bawlakhe,MMR002005
 Rural,251,499,750,Bawlakhe,MMR002005
 Total,362,1227,1589,Bawlakhe,MMR002005
 Urban,22,572,594,Parsaung,MMR002006
 Rural,170,3969,4139,Parsaung,MMR002006
 Total,192,4541,4733,Parsaung,MMR002006
 Urban,7,188,195,Meisi,MMR002007
 Rural,25,1082,1107,Meisi,MMR002007
 Total,32,1270,1302,Meisi,MMR002007
 Urban,77,215,292,Ywathit(ST),MMR002005
 Rural,37,163,200,Ywathit(ST),MMR002005
 Total,114,378,492,Ywathit(ST),MMR002005
 Urban,93,14675,14768,Hpa-an,MMR003001
 Rural,11870,62559,74429,Hpa-an,MMR003001
 Total,11963,77234,89197,Hpa-an,MMR003001
 Urban,55,2224,2279,Hlaingbwe,MMR003002
 Rural,3833,25474,29307,Hlaingbwe,MMR003002
 Total,3888,27698,31586,Hlaingbwe,MMR003002
 Urban,12,3050,3062,Thandaunggyi,MMR003004
 Rural,59,2688,2747,Thandaunggyi,MMR003004
 Total,71,5738,5809,Thandaunggyi,MMR003004
 Urban,54,753,807,Paingkyon(ST),MMR003002
 Rural,3479,13492,16971,Paingkyon(ST),MMR003002
 Total,3533,14245,17778,Paingkyon(ST),MMR003002
 Urban,17,66,83,Shan Ywathit(ST),MMR003002
 Rural,363,3310,3673,Shan Ywathit(ST),MMR003002
 Total,380,3376,3756,Shan Ywathit(ST),MMR003002
 Urban,-,607,607,Leiktho(ST),MMR003004
 Rural,281,9038,9319,Leiktho(ST),MMR003004
 Total,281,9645,9926,Leiktho(ST),MMR003004
 Urban,-,436,436,Bawgali(ST),MMR003004
 Rural,298,2671,2969,Bawgali(ST),MMR003004
 Total,298,3107,3405,Bawgali(ST),MMR003004
 Urban,33,600,633,Pharpon,MMR003003
 Rural,346,1565,1911,Pharpon,MMR003003
 Total,379,2165,2544,Pharpon,MMR003003
 Urban,158,2591,2749,Kamamaung(ST},MMR003003
 Rural,311,898,1209,Kamamaung(ST},MMR003003
