Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,164,12349,12513,Myaungmya,MMR017014
 Rural,5286,48373,53659,Myaungmya,MMR017014
 Total,5450,60722,66172,Myaungmya,MMR017014
