Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,142,64614,64756,North Okkalapa,MMR013012
 Total,142,64614,64756,North Okkalapa,MMR013012
