Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,359,7519,7878,Khayan,MMR013026
 Rural,8199,23237,31436,Khayan,MMR013026
 Total,8558,30756,39314,Khayan,MMR013026
