Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,-,158,158,Taungpyoletwe(ST),MMR012009
 Rural,36,312,348,Taungpyoletwe(ST),MMR012009
 Total,36,470,506,Taungpyoletwe(ST),MMR012009
