Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,247,1471,1718,Linkhe`,MMR014018
 Rural,2112,4558,6670,Linkhe`,MMR014018
 Total,2359,6029,8388,Linkhe`,MMR014018
