Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,299,3872,4171,Naungkhio,MMR015013
 Rural,6883,21170,28053,Naungkhio,MMR015013
 Total,7182,25042,32224,Naungkhio,MMR015013
