Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,424,19405,19829,Hinthada,MMR017008
 Rural,18003,48297,66300,Hinthada,MMR017008
 Total,18427,67702,86129,Hinthada,MMR017008
