Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,324,52723,53047,Chanmyatharzi,MMR010004
 Total,324,52723,53047,Chanmyatharzi,MMR010004
