Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,84,4452,4536,Hopon,MMR014003
 Rural,2137,18055,20192,Hopon,MMR014003
 Total,2221,22507,24728,Hopon,MMR014003
