Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2190,6056,8246,Zeyarthiri,MMR018001
 Rural,6249,11580,17829,Zeyarthiri,MMR018001
 Total,8439,17636,26075,Zeyarthiri,MMR018001
