Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,655,1085,1740,Thapaung,MMR017003
 Rural,6171,29326,35497,Thapaung,MMR017003
 Total,6826,30411,37237,Thapaung,MMR017003
