Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,7539,6917,14456,Pyinmana,MMR018006
 Rural,11349,13858,25207,Pyinmana,MMR018006
 Total,18888,20775,39663,Pyinmana,MMR018006
