Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3622,19440,23062,Kyimyindine,MMR013038
 Total,3622,19440,23062,Kyimyindine,MMR013038
