Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,5656,4459,10115,Bogale,MMR017024
 Rural,8753,57119,65872,Bogale,MMR017024
 Total,14409,61578,75987,Bogale,MMR017024
