Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3275,1982,5257,Zalun,MMR017009
 Rural,18214,18602,36816,Zalun,MMR017009
 Total,21489,20584,42073,Zalun,MMR017009
