Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,20799,20842,41641,Mingaladon,MMR013002
 Rural,13030,11632,24662,Mingaladon,MMR013002
 Total,33829,32474,66303,Mingaladon,MMR013002
