Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,70,1088,1158,Kunlon,MMR015020
 Rural,365,8869,9234,Kunlon,MMR015020
 Total,435,9957,10392,Kunlon,MMR015020
