Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,21904,15537,37441,Pathein,MMR017001
 Rural,11188,17407,28595,Pathein,MMR017001
 Total,33092,32944,66036,Pathein,MMR017001
