Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1153,591,1744,Chaungzon,MMR011003
 Rural,13659,12541,26200,Chaungzon,MMR011003
 Total,14812,13132,27944,Chaungzon,MMR011003
