Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,27864,21867,49731,Aungmyetharzan,MMR010001
 Total,27864,21867,49731,Aungmyetharzan,MMR010001
