Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,51686,52121,103807,Hlinethaya,MMR013008
 Rural,22120,22784,44904,Hlinethaya,MMR013008
 Total,73806,74905,148711,Hlinethaya,MMR013008
