Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,17,602,619,Chinshwehaw(ST),MMR015022
 Rural,15,316,331,Chinshwehaw(ST),MMR015022
 Total,32,918,950,Chinshwehaw(ST),MMR015022
