Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,8213,4300,12513,Myaungmya,MMR017014
 Rural,13307,40352,53659,Myaungmya,MMR017014
 Total,21520,44652,66172,Myaungmya,MMR017014
