Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3550,1630,5180,Danubyu,MMR017022
 Rural,20945,18672,39617,Danubyu,MMR017022
 Total,24495,20302,44797,Danubyu,MMR017022
