Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,96,656,752,Minenaung(ST),MMR014015
 Rural,126,4933,5059,Minenaung(ST),MMR014015
 Total,222,5589,5811,Minenaung(ST),MMR014015
