Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,452,878,1330,Le`char,MMR014012
 Rural,1232,6228,7460,Le`char,MMR014012
 Total,1684,7106,8790,Le`char,MMR014012
