Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4307,4890,9197,Twantay,MMR013027
 Rural,12112,30293,42405,Twantay,MMR013027
 Total,16419,35183,51602,Twantay,MMR013027
