Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,738,1576,2314,Maungtaw,MMR012009
 Rural,667,4409,5076,Maungtaw,MMR012009
 Total,1405,5985,7390,Maungtaw,MMR012009
