Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,52,669,721,Ponparkyin(ST),MMR016008
 Rural,512,6101,6613,Ponparkyin(ST),MMR016008
 Total,564,6770,7334,Ponparkyin(ST),MMR016008
