Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,6408,2738,9146,Tatkon,MMR018003
 Rural,12772,29829,42601,Tatkon,MMR018003
 Total,19180,32567,51747,Tatkon,MMR018003
