Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,7076,3630,10706,Thaton,MMR011007
 Rural,23990,13588,37578,Thaton,MMR011007
 Total,31066,17218,48284,Thaton,MMR011007
