Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,578,614,1192,Maukme`,MMR014020
 Rural,356,5646,6002,Maukme`,MMR014020
 Total,934,6260,7194,Maukme`,MMR014020
