Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,393,726,1119,Minetung,MMR016008
 Rural,254,2885,3139,Minetung,MMR016008
 Total,647,3611,4258,Minetung,MMR016008
