Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1551,4581,6132,Namkham,MMR015010
 Rural,1993,13292,15285,Namkham,MMR015010
 Total,3544,17873,21417,Namkham,MMR015010
