Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,812,2737,3549,Hainggyikyun(ST),MMR017004
 Rural,3452,22074,25526,Hainggyikyun(ST),MMR017004
 Total,4264,24811,29075,Hainggyikyun(ST),MMR017004
