Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,37792,20719,58511,Shwepyitha,MMR013007
 Rural,7286,7978,15264,Shwepyitha,MMR013007
 Total,45078,28697,73775,Shwepyitha,MMR013007
