Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,778,1470,2248,Yanbye,MMR012013
 Rural,958,19212,20170,Yanbye,MMR012013
 Total,1736,20682,22418,Yanbye,MMR012013
