Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1508,5300,6808,Tantyan,MMR015004
 Rural,561,27773,28334,Tantyan,MMR015004
 Total,2069,33073,35142,Tantyan,MMR015004
