Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,9403,9503,18906,Sittway,MMR012001
 Rural,1815,8315,10130,Sittway,MMR012001
 Total,11218,17818,29036,Sittway,MMR012001
