Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,386,1711,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,386,1875,2261,Kengtaung(ST),MMR014019
