Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,97,461,558,Minekat,MMR016002
 Rural,162,7305,7467,Minekat,MMR016002
 Total,259,7766,8025,Minekat,MMR016002
