Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,27566,25481,53047,Chanmyatharzi,MMR010004
 Total,27566,25481,53047,Chanmyatharzi,MMR010004
