Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2342,1521,3863,Taungtha,MMR010018
 Rural,14241,31748,45989,Taungtha,MMR010018
 Total,16583,33269,49852,Taungtha,MMR010018
