Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,6085,18637,24722,Zabuthiri,MMR018002
 Rural,693,905,1598,Zabuthiri,MMR018002
 Total,6778,19542,26320,Zabuthiri,MMR018002
