Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,657,813,1470,Mineye`,MMR015003
 Rural,603,11255,11858,Mineye`,MMR015003
 Total,1260,12068,13328,Mineye`,MMR015003
