Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,138,1195,1333,Minepyin,MMR016007
 Rural,384,8888,9272,Minepyin,MMR016007
 Total,522,10083,10605,Minepyin,MMR016007
