Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,154,986,1140,Kyaukhtu(ST),MMR009025
 Rural,722,5747,6469,Kyaukhtu(ST),MMR009025
 Total,876,6733,7609,Kyaukhtu(ST),MMR009025
