Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,13596,6763,20359,Taikkyi,MMR013005
 Rural,23387,23253,46640,Taikkyi,MMR013005
 Total,36983,30016,66999,Taikkyi,MMR013005
